Day,Body temperature: (Italy),Tosse: (Italy),Febbre: (Italy),Fever: (Italy),Cough: (Italy)
06-02-2020,2,23,31,34,1
07-02-2020,4,27,30,32,1
08-02-2020,2,26,39,36,1
09-02-2020,2,26,38,40,1
10-02-2020,3,27,34,39,1
11-02-2020,4,28,38,43,1
12-02-2020,2,28,38,42,0
13-02-2020,3,23,36,37,1
14-02-2020,3,23,33,34,1
15-02-2020,3,28,39,43,1
16-02-2020,2,24,43,45,1
17-02-2020,3,26,34,36,1
18-02-2020,2,26,33,38,1
19-02-2020,3,22,38,39,1
20-02-2020,3,25,30,32,1
21-02-2020,4,24,38,38,1
22-02-2020,7,36,57,60,1
23-02-2020,6,37,66,66,1
24-02-2020,6,39,70,60,1
25-02-2020,8,32,66,60,1
26-02-2020,9,32,56,53,1
27-02-2020,5,33,51,45,2
28-02-2020,7,34,46,45,1
29-02-2020,6,37,41,46,1
01-03-2020,7,34,51,50,1
02-03-2020,3,31,46,39,1
03-03-2020,4,33,46,40,1
04-03-2020,6,32,49,53,1
05-03-2020,8,34,54,53,1
06-03-2020,7,39,53,53,1
07-03-2020,9,37,74,72,1
08-03-2020,12,46,76,75,1
09-03-2020,14,48,84,85,1
10-03-2020,15,40,79,81,2
11-03-2020,13,40,80,89,1
12-03-2020,16,40,93,82,1
13-03-2020,13,42,91,80,1
14-03-2020,16,50,93,91,1
15-03-2020,18,47,100,98,1
16-03-2020,12,39,71,66,1
17-03-2020,12,36,74,76,1
18-03-2020,11,37,59,66,1
19-03-2020,12,31,57,60,1
20-03-2020,14,31,64,65,1
21-03-2020,11,34,63,67,1
22-03-2020,12,31,62,63,1
23-03-2020,10,26,54,56,2
24-03-2020,14,24,52,51,1
25-03-2020,11,19,60,56,1
26-03-2020,9,21,49,52,1
27-03-2020,8,21,51,50,1
28-03-2020,10,23,52,48,1
29-03-2020,8,21,50,50,1
30-03-2020,8,20,43,42,1
31-03-2020,8,21,40,36,1
01-04-2020,10,17,32,32,1
02-04-2020,7,16,30,32,1
03-04-2020,10,14,35,37,1
04-04-2020,5,16,36,37,1
05-04-2020,7,17,36,30,0
06-04-2020,6,14,33,32,1
07-04-2020,8,13,31,32,1
08-04-2020,5,13,28,31,1
09-04-2020,6,14,30,30,1
10-04-2020,7,14,31,29,1
11-04-2020,5,15,33,26,1
12-04-2020,4,17,29,30,0
13-04-2020,6,16,36,30,1
14-04-2020,7,13,27,26,1
15-04-2020,6,12,32,29,1
16-04-2020,7,17,28,28,1
17-04-2020,7,13,30,24,1
18-04-2020,7,12,32,32,1
19-04-2020,7,15,34,30,1
20-04-2020,7,11,30,27,1
21-04-2020,8,10,27,25,1
22-04-2020,7,12,25,26,1
23-04-2020,6,11,27,28,0
24-04-2020,8,11,28,26,1
25-04-2020,6,11,27,23,1
26-04-2020,5,11,31,32,1
27-04-2020,7,8,28,26,1
28-04-2020,6,10,30,24,1
29-04-2020,8,8,27,23,1
30-04-2020,9,9,27,26,1
01-05-2020,5,10,31,29,0
02-05-2020,5,9,32,24,0
