"asciiname","population","location"
"Stockholm",1515017,"https://www.google.com/maps/?q=59.33258,18.0649"
"Goeteborg",572799,"https://www.google.com/maps/?q=57.70716,11.96679"
"Malmoe",301706,"https://www.google.com/maps/?q=55.60587,13.00073"
"Uppsala",149245,"https://www.google.com/maps/?q=59.85882,17.63889"
"Sollentuna",139606,"https://www.google.com/maps/?q=59.42804,17.95093"
"Soedermalm",127323,"https://www.google.com/maps/?q=59.31278,18.07577"
"Vaesteras",117746,"https://www.google.com/maps/?q=59.61617,16.55276"
"OErebro",115765,"https://www.google.com/maps/?q=59.27412,15.2066"
"Linkoeping",106502,"https://www.google.com/maps/?q=58.41086,15.62157"
"Helsingborg",104250,"https://www.google.com/maps/?q=56.04673,12.69437"
"Joenkoeping",93797,"https://www.google.com/maps/?q=57.78145,14.15618"
"Norrkoeping",93765,"https://www.google.com/maps/?q=58.59419,16.1826"
"Huddinge",90182,"https://www.google.com/maps/?q=59.23705,17.98192"
"Lund",87244,"https://www.google.com/maps/?q=55.70584,13.19321"
"Umea",83249,"https://www.google.com/maps/?q=63.82842,20.25972"
"Haninge",74968,"https://www.google.com/maps/?q=59.16775,18.14478"
"Gaevle",74884,"https://www.google.com/maps/?q=60.67452,17.14174"
"Boras",71700,"https://www.google.com/maps/?q=57.72101,12.9401"
"Soedertaelje",70777,"https://www.google.com/maps/?q=59.19554,17.62525"
"Kungsholmen",69363,"https://www.google.com/maps/?q=59.33183,18.04118"
"Eskilstuna",67359,"https://www.google.com/maps/?q=59.36661,16.5077"
"Solna",66909,"https://www.google.com/maps/?q=59.36004,18.00086"
"Halmstad",66124,"https://www.google.com/maps/?q=56.67446,12.85676"
"Vaexjoe",65383,"https://www.google.com/maps/?q=56.87767,14.80906"
"Karlstad",61492,"https://www.google.com/maps/?q=59.3793,13.50357"
"Bromma",61000,"https://www.google.com/maps/?q=59.34,17.94"
"Moelndal",59430,"https://www.google.com/maps/?q=57.6554,12.01378"
"Vasastan",58458,"https://www.google.com/maps/?q=59.34571,18.04985"
"Taby",58123,"https://www.google.com/maps/?q=59.4439,18.06872"
"Sundsvall",57606,"https://www.google.com/maps/?q=62.39129,17.3063"
"OEstersund",49806,"https://www.google.com/maps/?q=63.1792,14.63566"
"Trollhaettan",48573,"https://www.google.com/maps/?q=58.28365,12.28864"
"Lulea",43574,"https://www.google.com/maps/?q=65.58415,22.15465"
"Lidingoe",42466,"https://www.google.com/maps/?q=59.36667,18.13333"
"Borlaenge",41955,"https://www.google.com/maps/?q=60.4858,15.43714"
"Tumba",40832,"https://www.google.com/maps/?q=59.19858,17.83317"
"Kristianstad",39762,"https://www.google.com/maps/?q=56.03129,14.15242"
"Kalmar",38408,"https://www.google.com/maps/?q=56.66157,16.36163"
"Falun",37000,"https://www.google.com/maps/?q=60.60357,15.62597"
"Skoevde",36842,"https://www.google.com/maps/?q=58.39118,13.84506"
"Upplands Vaesby",36534,"https://www.google.com/maps/?q=59.51839,17.91128"
"Karlskrona",36477,"https://www.google.com/maps/?q=56.16156,15.58661"
"OEstermalm",36418,"https://www.google.com/maps/?q=59.33879,18.08487"
"Skelleftea",35516,"https://www.google.com/maps/?q=64.75067,20.95279"
"Uddevalla",34781,"https://www.google.com/maps/?q=58.34784,11.9424"
