country,Population,O+,A+,B+,AB+,O−,A−,B−,AB−,Total A,cases per mil,deaths per mil
Argentina,44270440.0,0.454,0.3426,0.0859,0.0264,0.084,0.0044,0.0021,0.0006,0.34700000000000003,488.0,15.0
Armenia,2931568.0,0.29,0.463,0.12,0.056,0.02,0.037,0.01,0.004,0.5,4431.0,68.0
Australia,24642693.0,0.4,0.31,0.08,0.02,0.09,0.07,0.02,0.01,0.38,285.0,4.0
Austria,8592470.0,0.3,0.37,0.12,0.05,0.06,0.07,0.02,0.01,0.44,1877.0,75.0
Bahrain,1418695.0,0.4848,0.1935,0.2261,0.0367,0.0327,0.0133,0.0104,0.0025,0.2068,8701.0,15.0
Bangladesh,164833667.0,0.318,0.2144,0.3458,0.1685,0.0139,0.0096,0.0096,0.0064,0.224,400.0,5.0
Belgium,11444053.0,0.38,0.34,0.086,0.041,0.07,0.06,0.015,0.008,0.4,5112.0,828.0
Bolivia,11053376.0,0.5153,0.2945,0.1011,0.0115,0.0439,0.0273,0.0054,0.001,0.3218,1145.0,39.0
Bosnia and Herzegovina,3792730.0,0.31,0.36,0.12,0.06,0.05,0.07,0.02,0.01,0.43,794.0,48.0
Brazil,211248418.0,0.36,0.34,0.08,0.025,0.09,0.08,0.02,0.005,0.42000000000000004,3191.0,170.0
Bulgaria,7045097.0,0.28,0.37,0.13,0.07,0.05,0.07,0.02,0.01,0.44,390.0,23.0
Cambodia,16077172.0,0.467,0.272,0.185,0.049,0.013,0.008,0.005,0.001,0.28,7.0,
Cameroon,24515533.0,0.428,0.388,0.12,0.033,0.014,0.012,0.004,0.001,0.4,287.0,8.0
Canada,36627140.0,0.39,0.36,0.076,0.025,0.07,0.06,0.014,0.005,0.42,2537.0,207.0
Chile,18314060.0,0.855,0.087,0.0335,0.01,0.012,0.001,0.0005,0.001,0.088,6686.0,81.0
Colombia,49069267.0,0.613,0.2611,0.0228,0.0147,0.0513,0.027,0.007,0.0031,0.2881,748.0,24.0
Croatia,4207355.0,0.29,0.36,0.15,0.05,0.05,0.06,0.03,0.01,0.42,547.0,25.0
Cuba,11486750.0,0.458,0.335,0.102,0.029,0.036,0.028,0.01,0.002,0.36300000000000004,193.0,7.0
Cyprus,1189395.0,0.3522,0.4035,0.1111,0.0472,0.0385,0.0348,0.0087,0.004,0.4383,799.0,15.0
Denmark,5711902.0,0.35,0.37,0.08,0.04,0.06,0.07,0.02,0.01,0.44,2063.0,102.0
Dominican Republic,10766932.0,0.462,0.264,0.169,0.031,0.037,0.021,0.014,0.002,0.28500000000000003,1808.0,50.0
Ecuador,16665756.0,0.75,0.14,0.071,0.005,0.0238,0.007,0.003,0.0002,0.14700000000000002,2447.0,205.0
Egypt,95220838.0,0.52,0.24,0.124,0.038,0.05,0.02,0.006,0.002,0.26,319.0,12.0
El Salvador,6171483.0,0.62,0.23,0.11,0.01,0.01,0.01,0.007,0.003,0.24000000000000002,465.0,8.0
Estonia,1305745.0,0.295,0.308,0.207,0.063,0.043,0.045,0.03,0.009,0.353,1462.0,52.0
Ethiopia,104352727.0,0.39,0.28,0.21,0.05,0.03,0.02,0.01,0.01,0.30000000000000004,18.0,0.2
Fiji,912208.0,0.43,0.333,0.165,0.048,0.01,0.007,0.005,0.002,0.34,20.0,
Finland,5541328.0,0.28,0.35,0.16,0.07,0.05,0.06,0.02,0.01,0.41,1260.0,58.0
France,64939560.0,0.36,0.37,0.09,0.03,0.06,0.07,0.01,0.01,0.44,2354.0,447.0
Germany,80635980.0,0.35,0.37,0.09,0.04,0.06,0.06,0.02,0.01,0.43,2218.0,105.0
Ghana,29779258.0,0.538,0.176,0.183,0.028,0.045,0.013,0.013,0.002,0.189,311.0,1.0
Greece,10892849.0,0.374,0.329,0.11,0.037,0.07,0.05,0.02,0.01,0.379,287.0,17.0
Guinea,13291741.0,0.4688,0.2164,0.2286,0.0452,0.02,0.009,0.01,0.002,0.22540000000000002,314.0,2.0
Honduras,9348898.0,0.575,0.27,0.078,0.025,0.027,0.017,0.006,0.002,0.28700000000000003,622.0,25.0
Hong Kong,7402115.0,0.415,0.2613,0.2534,0.0635,0.0032,0.0017,0.0014,0.0005,0.26299999999999996,148.0,0.5
Hungary,9787801.0,0.27,0.33,0.16,0.08,0.05,0.07,0.03,0.01,0.4,415.0,57.0
Iceland,334311.0,0.468,0.272,0.09,0.02,0.082,0.048,0.016,0.004,0.32,5298.0,29.0
