date,city,count
02-02-2020,mumbai,0
03-02-2020,mumbai,0
02-03-2020,mumbai,0
03-03-2020,mumbai,0
04-03-2020,mumbai,0
05-03-2020,mumbai,0
06-03-2020,mumbai,0
07-03-2020,mumbai,0
08-03-2020,mumbai,0
09-03-2020,mumbai,0
10-03-2020,mumbai,0
11-03-2020,mumbai,0
12-03-2020,mumbai,2
13-03-2020,mumbai,2
14-03-2020,mumbai,0
15-03-2020,mumbai,1
16-03-2020,mumbai,0
17-03-2020,mumbai,1
18-03-2020,mumbai,1
19-03-2020,mumbai,1
20-03-2020,mumbai,1
21-03-2020,mumbai,2
22-03-2020,mumbai,7
23-03-2020,mumbai,5
24-03-2020,mumbai,11
25-03-2020,mumbai,5
26-03-2020,mumbai,7
27-03-2020,mumbai,1
28-03-2020,mumbai,2
29-03-2020,mumbai,21
30-03-2020,mumbai,5
31-03-2020,mumbai,7
01-04-2020,mumbai,59
02-04-2020,mumbai,29
03-04-2020,mumbai,54
04-04-2020,mumbai,43
05-04-2020,mumbai,99
06-04-2020,mumbai,81
07-04-2020,mumbai,67
08-04-2020,mumbai,124
09-04-2020,mumbai,72
10-04-2020,mumbai,162
11-04-2020,mumbai,132
12-04-2020,mumbai,138
13-04-2020,mumbai,152
14-04-2020,mumbai,242
15-04-2020,mumbai,216
16-04-2020,mumbai,140
17-04-2020,mumbai,177
18-04-2020,mumbai,11
19-04-2020,mumbai,183
30-01-2020,delhi,0
02-02-2020,delhi,0
03-02-2020,delhi,0
02-03-2020,delhi,0
03-03-2020,delhi,0
04-03-2020,delhi,0
05-03-2020,delhi,0
06-03-2020,delhi,0
07-03-2020,delhi,0
08-03-2020,delhi,0
09-03-2020,delhi,0
10-03-2020,delhi,0
11-03-2020,delhi,0
12-03-2020,delhi,0
13-03-2020,delhi,1
14-03-2020,delhi,1
15-03-2020,delhi,0
16-03-2020,delhi,0
17-03-2020,delhi,0
18-03-2020,delhi,3
19-03-2020,delhi,1
20-03-2020,delhi,3
21-03-2020,delhi,6
22-03-2020,delhi,7
23-03-2020,delhi,1
24-03-2020,delhi,2
25-03-2020,delhi,0
26-03-2020,delhi,5
27-03-2020,delhi,4
28-03-2020,delhi,1
29-03-2020,delhi,9
30-03-2020,delhi,23
31-03-2020,delhi,25
01-04-2020,delhi,23
02-04-2020,delhi,32
03-04-2020,delhi,141
04-04-2020,delhi,93
05-04-2020,delhi,59
06-04-2020,delhi,58
07-04-2020,delhi,22
08-04-2020,delhi,51
09-04-2020,delhi,93
10-04-2020,delhi,51
11-04-2020,delhi,183
12-04-2020,delhi,166
13-04-2020,delhi,85
14-04-2020,delhi,356
15-04-2020,delhi,51
16-04-2020,delhi,17
17-04-2020,delhi,62
18-04-2020,delhi,67
19-04-2020,delhi,186
30-01-2020,bangalore,0
02-02-2020,bangalore,0
03-02-2020,bangalore,0
02-03-2020,bangalore,0
03-03-2020,bangalore,0
04-03-2020,bangalore,0
05-03-2020,bangalore,0
06-03-2020,bangalore,0
07-03-2020,bangalore,0
08-03-2020,bangalore,0
09-03-2020,bangalore,0
10-03-2020,bangalore,1
11-03-2020,bangalore,3
12-03-2020,bangalore,0
13-03-2020,bangalore,1
14-03-2020,bangalore,0
15-03-2020,bangalore,0
16-03-2020,bangalore,0
17-03-2020,bangalore,0
18-03-2020,bangalore,2
19-03-2020,bangalore,3
20-03-2020,bangalore,0
21-03-2020,bangalore,0
22-03-2020,bangalore,3
23-03-2020,bangalore,3
24-03-2020,bangalore,5
25-03-2020,bangalore,1
26-03-2020,bangalore,8
27-03-2020,bangalore,1
28-03-2020,bangalore,4
29-03-2020,bangalore,2
30-03-2020,bangalore,0
31-03-2020,bangalore,0
01-04-2020,bangalore,4
02-04-2020,bangalore,3
03-04-2020,bangalore,0
04-04-2020,bangalore,0
05-04-2020,bangalore,4
06-04-2020,bangalore,0
07-04-2020,bangalore,1
08-04-2020,bangalore,3
09-04-2020,bangalore,0
10-04-2020,bangalore,3
11-04-2020,bangalore,2
12-04-2020,bangalore,2
13-04-2020,bangalore,3
14-04-2020,bangalore,1
15-04-2020,bangalore,3
16-04-2020,bangalore,1
17-04-2020,bangalore,4
18-04-2020,bangalore,10
19-04-2020,bangalore,3
30-01-2020,hyderabad,0
02-02-2020,hyderabad,0
03-02-2020,hyderabad,0
02-03-2020,hyderabad,0
03-03-2020,hyderabad,1
04-03-2020,hyderabad,0
05-03-2020,hyderabad,0
06-03-2020,hyderabad,0
07-03-2020,hyderabad,0
08-03-2020,hyderabad,0
09-03-2020,hyderabad,0
10-03-2020,hyderabad,0
11-03-2020,hyderabad,0
12-03-2020,hyderabad,0
13-03-2020,hyderabad,0
14-03-2020,hyderabad,0
15-03-2020,hyderabad,1
16-03-2020,hyderabad,1
17-03-2020,hyderabad,1
18-03-2020,hyderabad,1
19-03-2020,hyderabad,8
20-03-2020,hyderabad,3
21-03-2020,hyderabad,1
22-03-2020,hyderabad,2
23-03-2020,hyderabad,5
24-03-2020,hyderabad,5
25-03-2020,hyderabad,2
26-03-2020,hyderabad,2
27-03-2020,hyderabad,3
28-03-2020,hyderabad,14
29-03-2020,hyderabad,8
30-03-2020,hyderabad,3
31-03-2020,hyderabad,7
01-04-2020,hyderabad,20
02-04-2020,hyderabad,30
03-04-2020,hyderabad,27
04-04-2020,hyderabad,6
05-04-2020,hyderabad,0
06-04-2020,hyderabad,51
07-04-2020,hyderabad,0
08-04-2020,hyderabad,17
09-04-2020,hyderabad,3
10-04-2020,hyderabad,3
11-04-2020,hyderabad,0
12-04-2020,hyderabad,9
13-04-2020,hyderabad,10
14-04-2020,hyderabad,45
15-04-2020,hyderabad,40
16-04-2020,hyderabad,5
17-04-2020,hyderabad,33
18-04-2020,hyderabad,50
19-04-2020,hyderabad,31
30-01-2020,ahmedabad,0
02-02-2020,ahmedabad,0
03-02-2020,ahmedabad,0
02-03-2020,ahmedabad,0
03-03-2020,ahmedabad,0
04-03-2020,ahmedabad,0
05-03-2020,ahmedabad,0
06-03-2020,ahmedabad,0
07-03-2020,ahmedabad,0
08-03-2020,ahmedabad,0
09-03-2020,ahmedabad,0
10-03-2020,ahmedabad,0
11-03-2020,ahmedabad,0
12-03-2020,ahmedabad,0
13-03-2020,ahmedabad,0
14-03-2020,ahmedabad,0
15-03-2020,ahmedabad,0
16-03-2020,ahmedabad,0
17-03-2020,ahmedabad,0
18-03-2020,ahmedabad,0
19-03-2020,ahmedabad,0
20-03-2020,ahmedabad,0
21-03-2020,ahmedabad,3
22-03-2020,ahmedabad,2
23-03-2020,ahmedabad,3
24-03-2020,ahmedabad,6
25-03-2020,ahmedabad,0
26-03-2020,ahmedabad,0
27-03-2020,ahmedabad,0
28-03-2020,ahmedabad,0
29-03-2020,ahmedabad,3
30-03-2020,ahmedabad,4
31-03-2020,ahmedabad,1
01-04-2020,ahmedabad,1
02-04-2020,ahmedabad,8
03-04-2020,ahmedabad,0
04-04-2020,ahmedabad,7
05-04-2020,ahmedabad,7
06-04-2020,ahmedabad,8
07-04-2020,ahmedabad,11
08-04-2020,ahmedabad,19
09-04-2020,ahmedabad,0
10-04-2020,ahmedabad,59
11-04-2020,ahmedabad,55
12-04-2020,ahmedabad,46
13-04-2020,ahmedabad,39
14-04-2020,ahmedabad,38
15-04-2020,ahmedabad,53
16-04-2020,ahmedabad,77
17-04-2020,ahmedabad,95
18-04-2020,ahmedabad,78
19-04-2020,ahmedabad,239
30-01-2020,chennai,0
02-02-2020,chennai,0
03-02-2020,chennai,0
02-03-2020,chennai,0
03-03-2020,chennai,0
04-03-2020,chennai,0
05-03-2020,chennai,0
06-03-2020,chennai,0
07-03-2020,chennai,0
