date,avgTemp,city,state,population,weather_id,country,retail_and_recreation,grocery_and_pharnacy,transit_stations,workplaces,residential,count
02-03-2020,26.6,mumbai,Maharashtra,12442373,IN012070800,India,-2.0,1.0,0.0,4.0,1.0,0.0
03-03-2020,26.7,mumbai,Maharashtra,12442373,IN012070800,India,-1.0,1.0,-1.0,3.0,1.0,0.0
04-03-2020,25.9,mumbai,Maharashtra,12442373,IN012070800,India,0.0,3.0,2.0,6.0,0.0,0.0
05-03-2020,26.4,mumbai,Maharashtra,12442373,IN012070800,India,-1.0,3.0,0.0,4.0,1.0,0.0
06-03-2020,26.7,mumbai,Maharashtra,12442373,IN012070800,India,0.0,4.0,1.0,5.0,1.0,0.0
07-03-2020,25.8,mumbai,Maharashtra,12442373,IN012070800,India,-2.0,5.0,3.0,4.0,1.0,0.0
08-03-2020,25.7,mumbai,Maharashtra,12442373,IN012070800,India,1.0,4.0,-2.0,6.0,1.0,0.0
09-03-2020,25.9,mumbai,Maharashtra,12442373,IN012070800,India,-1.0,6.0,-4.0,-4.0,2.0,0.0
10-03-2020,26.5,mumbai,Maharashtra,12442373,IN012070800,India,-17.0,-21.0,-32.0,-60.0,18.0,0.0
11-03-2020,25.9,mumbai,Maharashtra,12442373,IN012070800,India,-5.0,0.0,0.0,0.0,0.0,0.0
12-03-2020,25.2,mumbai,Maharashtra,12442373,IN012070800,India,-6.0,1.0,-3.0,-1.0,1.0,2.0
13-03-2020,25.1,mumbai,Maharashtra,12442373,IN012070800,India,-9.0,1.0,-7.0,-2.0,3.0,2.0
14-03-2020,25.8,mumbai,Maharashtra,12442373,IN012070800,India,-14.0,3.0,-9.0,-5.0,5.0,0.0
15-03-2020,29.3,mumbai,Maharashtra,12442373,IN012070800,India,-17.0,-1.0,-11.0,1.0,4.0,1.0
16-03-2020,30.5,mumbai,Maharashtra,12442373,IN012070800,India,-12.0,1.0,-10.0,-8.0,5.0,0.0
17-03-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-18.0,0.0,-15.0,-14.0,7.0,1.0
18-03-2020,29.7,mumbai,Maharashtra,12442373,IN012070800,India,-22.0,-5.0,-19.0,-18.0,8.0,1.0
19-03-2020,28.4,mumbai,Maharashtra,12442373,IN012070800,India,-28.0,-8.0,-26.0,-24.0,10.0,1.0
20-03-2020,27.2,mumbai,Maharashtra,12442373,IN012070800,India,-41.0,-12.0,-33.0,-31.0,14.0,1.0
21-03-2020,26.9,mumbai,Maharashtra,12442373,IN012070800,India,-60.0,-26.0,-45.0,-43.0,17.0,2.0
22-03-2020,28.3,mumbai,Maharashtra,12442373,IN012070800,India,-86.0,-84.0,-78.0,-62.0,26.0,7.0
23-03-2020,29.8,mumbai,Maharashtra,12442373,IN012070800,India,-69.0,-39.0,-69.0,-69.0,29.0,5.0
24-03-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-76.0,-50.0,-76.0,-77.0,34.0,11.0
25-03-2020,29.5,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-67.0,-81.0,-81.0,37.0,5.0
26-03-2020,29.6,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-63.0,-79.0,-78.0,36.0,7.0
27-03-2020,29.4,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-62.0,-79.0,-77.0,36.0,1.0
28-03-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-66.0,-79.0,-74.0,34.0,2.0
29-03-2020,30.4,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-68.0,-77.0,-57.0,25.0,21.0
30-03-2020,29.3,mumbai,Maharashtra,12442373,IN012070800,India,-79.0,-63.0,-79.0,-76.0,35.0,5.0
31-03-2020,28.8,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-64.0,-80.0,-76.0,35.0,7.0
01-04-2020,29.2,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-65.0,-80.0,-77.0,35.0,59.0
02-04-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-81.0,-66.0,-81.0,-79.0,37.0,29.0
03-04-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-64.0,-80.0,-76.0,36.0,54.0
04-04-2020,29.6,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-66.0,-79.0,-71.0,34.0,43.0
05-04-2020,29.3,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-68.0,-78.0,-55.0,25.0,99.0
06-04-2020,28.9,mumbai,Maharashtra,12442373,IN012070800,India,-80.0,-64.0,-80.0,-78.0,36.0,81.0
07-04-2020,28.3,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-54.0,-76.0,-76.0,35.0,67.0
08-04-2020,28.2,mumbai,Maharashtra,12442373,IN012070800,India,-83.0,-57.0,-76.0,-76.0,35.0,124.0
09-04-2020,28.7,mumbai,Maharashtra,12442373,IN012070800,India,-83.0,-55.0,-77.0,-77.0,37.0,72.0
10-04-2020,29.6,mumbai,Maharashtra,12442373,IN012070800,India,-83.0,-56.0,-78.0,-79.0,39.0,162.0
11-04-2020,30.6,mumbai,Maharashtra,12442373,IN012070800,India,-85.0,-60.0,-77.0,-73.0,36.0,132.0
12-04-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-85.0,-63.0,-75.0,-56.0,25.0,138.0
13-04-2020,30.0,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-57.0,-77.0,-75.0,37.0,152.0
14-04-2020,31.1,mumbai,Maharashtra,12442373,IN012070800,India,-83.0,-59.0,-78.0,-78.0,37.0,242.0
15-04-2020,30.7,mumbai,Maharashtra,12442373,IN012070800,India,-82.0,-53.0,-75.0,-74.0,35.0,216.0
16-04-2020,30.3,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-49.0,-75.0,-75.0,36.0,140.0
17-04-2020,30.2,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-49.0,-75.0,-74.0,37.0,177.0
18-04-2020,30.7,mumbai,Maharashtra,12442373,IN012070800,India,-89.0,-56.0,-75.0,-69.0,34.0,11.0
19-04-2020,31.6,mumbai,Maharashtra,12442373,IN012070800,India,-89.0,-58.0,-73.0,-53.0,25.0,183.0
21-04-2020,30.6,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-52.0,-75.0,-74.0,36.0,308.0
22-04-2020,30.6,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-53.0,-75.0,-74.0,36.0,419.0
23-04-2020,30.6,mumbai,Maharashtra,12442373,IN012070800,India,-88.0,-54.0,-76.0,-74.0,37.0,232.0
24-04-2020,30.8,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-51.0,-76.0,-74.0,37.0,522.0
25-04-2020,30.4,mumbai,Maharashtra,12442373,IN012070800,India,-89.0,-54.0,-75.0,-70.0,35.0,242.0
26-04-2020,30.1,mumbai,Maharashtra,12442373,IN012070800,India,-89.0,-59.0,-74.0,-53.0,26.0,602.0
28-04-2020,30.9,mumbai,Maharashtra,12442373,IN012070800,India,-87.0,-52.0,-75.0,-74.0,36.0,454.0
