city,state,population,country,date,retail_and_recreation,grocery_and_pharnacy,transit_stations,workplaces,residential
Mumbai,Maharashtra,12442373,India,2020-02-15,-3.0,-1.0,3.0,2.0,0.0
Mumbai,Maharashtra,12442373,India,2020-02-16,0.0,-1.0,2.0,0.0,0.0
Mumbai,Maharashtra,12442373,India,2020-02-17,-2.0,0.0,0.0,1.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-18,0.0,1.0,2.0,1.0,0.0
Mumbai,Maharashtra,12442373,India,2020-02-19,-1.0,-1.0,-3.0,-12.0,3.0
Mumbai,Maharashtra,12442373,India,2020-02-20,0.0,2.0,2.0,0.0,0.0
Mumbai,Maharashtra,12442373,India,2020-02-21,-7.0,-1.0,-9.0,-22.0,6.0
Mumbai,Maharashtra,12442373,India,2020-02-22,-7.0,-5.0,-4.0,-5.0,2.0
Mumbai,Maharashtra,12442373,India,2020-02-23,-4.0,-4.0,-1.0,3.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-24,-3.0,-3.0,0.0,2.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-25,-3.0,-2.0,-1.0,2.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-26,-1.0,-3.0,2.0,3.0,0.0
Mumbai,Maharashtra,12442373,India,2020-02-27,-2.0,-3.0,-1.0,1.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-28,-3.0,-1.0,-1.0,4.0,1.0
Mumbai,Maharashtra,12442373,India,2020-02-29,-5.0,0.0,0.0,6.0,1.0
Mumbai,Maharashtra,12442373,India,2020-03-01,-2.0,2.0,-1.0,5.0,1.0
Mumbai,Maharashtra,12442373,India,2020-03-02,-2.0,1.0,0.0,4.0,1.0
Mumbai,Maharashtra,12442373,India,2020-03-03,-1.0,1.0,-1.0,3.0,1.0
Mumbai,Maharashtra,12442373,India,2020-03-04,0.0,3.0,2.0,6.0,0.0
Mumbai,Maharashtra,12442373,India,2020-03-05,-1.0,3.0,0.0,4.0,1.0
Mumbai,Maharashtra,12442373,India,2020-03-06,0.0,4.0,1.0,5.0,1.0
